Nama Wilayah,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
,2022
ACEH,14.64
Simeulue,18.37
Aceh Singkil,19.18
Aceh Selatan,12.43
Aceh Tenggara,12.83
Aceh Timur,13.91
Aceh Tengah,14.5
Aceh Barat,17.93
Aceh Besar,13.38
Pidie,18.79
Bireuen,12.51
Aceh Utara,16.86
Aceh Barat Daya,15.44
Gayo Lues,18.87
Aceh Tamiang,12.61
Nagan Raya,17.38
Aceh Jaya,12.51
Bener Meriah,18.39
Pidie Jaya,18.45
Kota Banda Aceh,7.13
Kota Sabang,14.66
Kota Langsa,10.62
Kota Lhokseumawe,10.84
Kota Subulussalam,16.94
SUMATERA UTARA,8.42
Nias,16
Mandailing Natal,8.92
Tapanuli Selatan,8.07
Tapanuli Tengah,11.71
Tapanuli Utara,8.93
Toba Samosir,8.89
Labuhan Batu,8.26
Asahan,8.64
Simalungun,8.26
Dairi,7.88
Karo,8.17
Deli Serdang,3.62
Langkat,9.49
Nias Selatan,16.48
Humbang Hasundutan,8.86
Pakpak Bharat,8.66
Samosir,11.77
Serdang Bedagai,7.82
Batu Bara,11.53
Padang Lawas Utara,8.94
Padang Lawas,8.05
Labuhan Batu Selatan,8.09
Labuhan Batu Utara,9.09
Nias Utara,23.4
Nias Barat,24.75
Kota Sibolga,11.47
Kota Tanjung Balai,12.45
Kota Pematang Siantar,7.88
Kota Tebing Tinggi,9.59
Kota Medan,8.07
Kota Binjai,5.1
Kota Padangsidimpuan,6.89
Kota Gunungsitoli,14.81
SUMATERA BARAT,5.92
Kepulauan Mentawai,13.97
Pesisir Selatan,7.11
Solok,7.12
Sijunjung,6
Tanah Datar,4.26
Padang Pariaman,6.25
Agam,6.22
Lima Puluh Kota,6.59
Pasaman,6.85
Solok Selatan,6.51
Dharmasraya,5.56
Pasaman Barat,6.93
Kota Padang,4.26
Kota Solok,3.02
Kota Sawah Lunto,2.28
Kota Padang Panjang,5.14
Kota Bukittinggi,4.46
Kota Payakumbuh,5.66
Kota Pariaman,4.13
RIAU,6.78
Kuantan Singingi,8.24
Indragiri Hulu,6.14
Indragiri Hilir,5.98
Pelalawan,8.97
Siak,5.07
Kampar,7.12
Rokan Hulu,9.95
Bengkalis,6.32
Rokan Hilir,6.73
Kepulauan Meranti,23.84
Kota Pekanbaru,3.06
Kota Dumai,3.2
JAMBI,7.62
Kerinci,7.57
Merangin,8.7
Sarolangun,8.48
Batang Hari,9.63
Muaro Jambi,4.47
