Nama Wilayah,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
,2020
ACEH,14.99
Simeulue,18.49
Aceh Singkil,20.2
Aceh Selatan,12.87
Aceh Tenggara,13.21
Aceh Timur,14.08
Aceh Tengah,15.08
Aceh Barat,18.34
Aceh Besar,13.84
Pidie,19.23
Bireuen,13.06
Aceh Utara,17.02
Aceh Barat Daya,15.93
Gayo Lues,19.32
Aceh Tamiang,13.08
Nagan Raya,17.7
Aceh Jaya,12.87
Bener Meriah,18.89
Pidie Jaya,19.19
Kota Banda Aceh,6.9
Kota Sabang,14.94
Kota Langsa,10.44
Kota Lhokseumawe,10.8
Kota Subulussalam,17.6
SUMATERA UTARA,8.75
Nias,16.6
Mandailing Natal,9.18
Tapanuli Selatan,8.47
Tapanuli Tengah,12.38
Tapanuli Utara,9.37
Toba Samosir,8.71
Labuhan Batu,8.44
Asahan,9.04
Simalungun,8.46
Dairi,8.04
Karo,8.7
Deli Serdang,3.88
Langkat,9.73
Nias Selatan,16.74
Humbang Hasundutan,9.36
Pakpak Bharat,9.28
Samosir,12.48
Serdang Bedagai,7.97
Batu Bara,11.88
Padang Lawas Utara,9.7
Padang Lawas,8.37
Labuhan Batu Selatan,8.34
Labuhan Batu Utara,9.53
Nias Utara,25.07
Nias Barat,25.69
Kota Sibolga,11.95
Kota Tanjung Balai,13.33
Kota Pematang Siantar,8.27
Kota Tebing Tinggi,9.85
Kota Medan,8.01
Kota Binjai,5.71
Kota Padangsidimpuan,7.4
Kota Gunungsitoli,16.41
SUMATERA BARAT,6.28
Kepulauan Mentawai,14.35
Pesisir Selatan,7.61
Solok,7.81
Sijunjung,6.78
Tanah Datar,4.4
Padang Pariaman,6.95
Agam,6.75
Lima Puluh Kota,6.86
Pasaman,7.16
Solok Selatan,7.15
Dharmasraya,6.23
Pasaman Barat,7.04
Kota Padang,4.4
Kota Solok,2.77
Kota Sawah Lunto,2.16
Kota Padang Panjang,5.24
Kota Bukittinggi,4.54
Kota Payakumbuh,5.65
Kota Pariaman,4.1
RIAU,6.82
Kuantan Singingi,8.91
Indragiri Hulu,5.96
Indragiri Hilir,5.93
Pelalawan,9.16
Siak,5.09
Kampar,7.38
Rokan Hulu,10.31
Bengkalis,6.4
Rokan Hilir,6.72
Kepulauan Meranti,25.28
Kota Pekanbaru,2.62
Kota Dumai,3.16
JAMBI,7.58
Kerinci,7.3
Merangin,8.63
Sarolangun,8.42
Batang Hari,9.65
Muaro Jambi,3.83
