Nama Wilayah,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
,2023
ACEH,14.45
Simeulue,17.92
Aceh Singkil,19.15
Aceh Selatan,12.1
Aceh Tenggara,12.45
Aceh Timur,13.39
Aceh Tengah,14.38
Aceh Barat,17.86
Aceh Besar,13.38
Pidie,18.78
Bireuen,12.12
Aceh Utara,16.64
Aceh Barat Daya,15.43
Gayo Lues,18.82
Aceh Tamiang,12.51
Nagan Raya,17.25
Aceh Jaya,12.42
Bener Meriah,18.31
Pidie Jaya,18.4
Kota Banda Aceh,7.04
Kota Sabang,14.59
Kota Langsa,10.53
Kota Lhokseumawe,10.73
Kota Subulussalam,16.41
SUMATERA UTARA,8.15
Nias,15.1
Mandailing Natal,8.86
Tapanuli Selatan,7.01
Tapanuli Tengah,11.5
Tapanuli Utara,8.54
Toba Samosir,8.04
Labuhan Batu,7.99
Asahan,8.21
Simalungun,7.87
Dairi,7.47
Karo,7.98
Deli Serdang,3.44
Langkat,9.23
Nias Selatan,16.39
Humbang Hasundutan,8.69
Pakpak Bharat,7.54
Samosir,11.66
Serdang Bedagai,7.44
Batu Bara,11.38
Padang Lawas Utara,8.79
Padang Lawas,7.89
Labuhan Batu Selatan,8.06
Labuhan Batu Utara,9.08
Nias Utara,21.79
Nias Barat,22.81
Kota Sibolga,11.42
Kota Tanjung Balai,12.21
Kota Pematang Siantar,7.24
Kota Tebing Tinggi,9.49
Kota Medan,8
Kota Binjai,4.79
Kota Padangsidimpuan,6.85
Kota Gunungsitoli,14.78
SUMATERA BARAT,5.95
Kepulauan Mentawai,13.72
Pesisir Selatan,7.34
Solok,7.13
Sijunjung,5.88
Tanah Datar,4.16
Padang Pariaman,6.34
Agam,6.6
Lima Puluh Kota,6.8
Pasaman,6.8
Solok Selatan,6.45
Dharmasraya,5.56
Pasaman Barat,6.92
Kota Padang,4.17
Kota Solok,3.05
Kota Sawah Lunto,2.27
Kota Padang Panjang,5.24
Kota Bukittinggi,4.11
Kota Payakumbuh,5.44
Kota Pariaman,4.2
RIAU,6.68
Kuantan Singingi,8.07
Indragiri Hulu,6.06
Indragiri Hilir,5.64
Pelalawan,8.15
Siak,5.23
Kampar,7.04
Rokan Hulu,9.72
Bengkalis,6.31
Rokan Hilir,7.07
Kepulauan Meranti,22.98
Kota Pekanbaru,3.16
Kota Dumai,3.21
JAMBI,7.58
Kerinci,7.54
Merangin,8.9
Sarolangun,8.54
Batang Hari,9.45
Muaro Jambi,4.43
