Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T076,Komentar Balasan,https://vt.tiktok.com/ZSPf35YCT/,Izza Afkarina,@Izza Afkarina: pasti gagal di TB 🙂,,,11,7,,2021,T07,TikTok,Indonesia
T077,Komentar Balasan,https://vt.tiktok.com/ZSPf35YCT/,sagitarius97,@sagitarius97: pernah sampai interview namun gagal karna aku gak percaya diri kalo interview🥺 mengsyedih 🥺 bismillah tahun ini bisa yuk bisa 💪,,,10,16,,2021,T07,TikTok,Indonesia
T078,Komentar Balasan,https://vt.tiktok.com/ZSPf35YCT/,Laora bukan Laura 🧚🏻‍♀️🫦✨,@Laora bukan Laura 🧚🏻‍♀️🫦✨: sarjana pendidikan bisa kerja di kai nggk😳,,,10,7,,2021,T07,TikTok,Indonesia
T079,Komentar Balasan,https://vt.tiktok.com/ZSPfKj5NS/,keripik paku,@keripik paku: gw ada di posisi lu bang 🥺 bingung+ lelah hati.,,,6,3,,2021,T08,TikTok,Indonesia
T080,Komentar Balasan,https://vt.tiktok.com/ZSPfKj5NS/,chndyni5,"@chndyni5: semangat yuk mas, semoga kita smsm segera dapet kerja",,,4,2,,2021,T08,TikTok,Indonesia
T081,Komentar Balasan,https://vt.tiktok.com/ZSPfKj5NS/,𝓅𝒾𝒾𝒾𝒾𝒾˚ ༘,"@𝓅𝒾𝒾𝒾𝒾𝒾˚ ༘: semangat pejuang amplop coklat, semoga lekas dapat lapangan✨",,,15,1,,2021,T08,TikTok,Indonesia
T082,Komentar Balasan,https://vt.tiktok.com/ZSPfKj5NS/,Bybeestore.id,@Bybeestore.id: Semangat sama² pejuang amplop coklat😥,,,5,3,,2021,T08,TikTok,Indonesia
T083,Komentar Balasan,https://vt.tiktok.com/ZSPfEYWcB/,🅰️L,"@🅰️L: dan orang orang cuma bisa bilang ""eh lu ko masih blm krja aja sih,bukannya cari kerjaan lu"" padahal disisi lain kita sudah berjuang semaksimal mungkin",,,2512,22,,2021,T09,TikTok,Indonesia
T084,Komentar Balasan,https://vt.tiktok.com/ZSPfEYWcB/,Whitehat,"@Whitehat: usaha terus brok, doa dan sedekahnya jgn kendor. Sama setiap pagi atau tiap mau lamar2 kerja minta restu dan doa dari ibu, insyaallah selalu ada jalan",,,1070,12,,2021,T09,TikTok,Indonesia
T085,Komentar Balasan,https://vt.tiktok.com/ZSPfEYWcB/,sky at the evening of summer,"@sky at the evening of summer: lagi di posisi ini, i know exactly wht you feel, ngirim udah ratusan lamaran gak ada yang tembus dan ini hampir 1 tahun dri wisuda :)",,,439,46,,2021,T09,TikTok,Indonesia
