DATA EKSTERNAL (DATA MEDIA SOSIAL) TIKTOK,,,,,,,,,,,,,
DATA KONTEN UTAMA DAN BALASAN KOMENTAR,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data Postingan Utama (Content Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T32,Postingan Utama,https://vt.tiktok.com/ZSPPXJCDg/,shivadestya,Loker dari astra group untuk SMK/SMK/S1,,244600,19300,430,3590,2024,,TikTok,Indonesia
T33,Postingan Utama,https://vt.tiktok.com/ZSPPX3Hh5/,bowliiv,Website untuk daftar kerja,,239700,13400,74,867,2024,,TikTok,Indonesia
T34,Postingan Utama,https://vt.tiktok.com/ZSPP4BepP/,mtaufikalhbs,Mau kerja di jakarta?,,321400,18900,317,886,2024,,TikTok,Indonesia
T35,Postingan Utama,https://vt.tiktok.com/ZSPP4Hhq8/,rakaadityapratama_,Mau sampai kapan nganggur ya Allah,,783100,69900,3047,3554,2024,,TikTok,Indonesia
T36,Postingan Utama,https://vt.tiktok.com/ZSPPV2Luw/,anisyanwt,Kehidupan pengangguran,,1900000,156700,220300,24100,2024,,TikTok,Indonesia
T37,Postingan Utama,https://vt.tiktok.com/ZSPPV7oHx/,raymondchins,"9,9 juta Gen z pengangguran",,609700,38300,931,52340,2024,,TikTok,Indonesia
T38,Postingan Utama,https://vt.tiktok.com/ZSPPqn4ME/,faarsyazz,"Tetap berbaik sangka dan manifest, terkena dampak PHK",,13400,10400,219,534,2024,,TikTok,Indonesia
T39,Postingan Utama,https://vt.tiktok.com/ZSPPbSfcF/,dandyzeo,Ketika nganggur udah mau setahun,,51500,2734,100,324,2024,,TikTok,Indonesia
T40,Postingan Utama,https://vt.tiktok.com/ZSPPgN3Rb/,lifeofdesno,Jangan S2 dulu sebelum punya pengalaman kerja,,142400,11100,393,388,2024,,TikTok,Indonesia
T41,Postingan Utama,https://vt.tiktok.com/ZSPPpoChc/,republikaonline,"Jangan salah, para gen z ini ga berjuang dengan tangan kosong",,2100000,100500,2757,12200,2025,,TikTok,Indonesia
