Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Daerah,,
,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,1.13,1.26,-
Desa,2.21,2.39,-
Kota+Desa,1.61,1.75,-
