Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Daerah,,
,2004,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,-,-,2.18
Desa,-,-,3.43
Kota+Desa,-,-,2.89
