Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Daerah,,
,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,1.4,1.29,-
Desa,2.55,2.4,-
Kota+Desa,1.97,1.84,-
