Nama Wilayah,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2009
ACEH,272155
Simeulue,255471
Aceh Singkil,257778
Aceh Selatan,236741
Aceh Tenggara,170569
Aceh Timur,264671
Aceh Tengah,305619
Aceh Barat,341606
Aceh Besar,308440
Pidie,312476
Bireuen,242576
Aceh Utara,229559
Aceh Barat Daya,231758
Gayo Lues,232481
Aceh Tamiang,274295
Nagan Raya,294493
Aceh Jaya,254156
Bener Meriah,274560
Pidie Jaya,309857
Kota Banda Aceh,414172
Kota Sabang,368637
Kota Langsa,248283
Kota Lhokseumawe,246539
Kota Subulussalam,201149
SUMATERA UTARA,230624
Nias,214244
Mandailing Natal,210060
Tapanuli Selatan,221497
Tapanuli Tengah,216405
Tapanuli Utara,211814
Toba Samosir,213848
Labuhan Batu,223935
Asahan,202180
Simalungun,210265
Dairi,196523
Karo,257833
Deli Serdang,216408
Langkat,221625
Nias Selatan,170227
Humbang Hasundutan,187938
Pakpak Bharat,159142
Samosir,181619
Serdang Bedagai,223753
Batu Bara,232538
Padang Lawas Utara,191446
Padang Lawas,191357
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,258135
Kota Tanjung Balai,234091
Kota Pematang Siantar,285863
Kota Tebing Tinggi,254387
Kota Medan,297478
Kota Binjai,229639
Kota Padangsidimpuan,229921
Kota Gunungsitoli,-
SUMATERA BARAT,230683
Kepulauan Mentawai,165814
Pesisir Selatan,223328
Solok,233097
Sijunjung,216968
Tanah Datar,216986
Padang Pariaman,231533
Agam,201074
Lima Puluh Kota,222435
Pasaman,202452
Solok Selatan,195997
Dharmasraya,229181
Pasaman Barat,229667
Kota Padang,272329
Kota Solok,247635
Kota Sawah Lunto,184976
Kota Padang Panjang,244490
Kota Bukittinggi,257496
Kota Payakumbuh,257805
Kota Pariaman,239204
RIAU,270504
Kuantan Singingi,299369
Indragiri Hulu,269484
Indragiri Hilir,219841
Pelalawan,331024
Siak,247965
Kampar,257508
Rokan Hulu,289554
Bengkalis,295967
Rokan Hilir,227571
Kepulauan Meranti,-
Kota Pekanbaru,300852
Kota Dumai,261859
JAMBI,217161
Kerinci,203288
Merangin,208179
Sarolangun,259262
Batang Hari,224597
Muaro Jambi,182534
Tanjung Jabung Timur,213056
Tanjung Jabung Barat,202609
Tebo,215442
Bungo,195773
Kota Jambi,254649
Kota Sungai Penuh,-
SUMATERA SELATAN,235560
Ogan Komering Ulu,236085
Ogan Komering Ilir,199024
Muara Enim,210454
Lahat,242534
Musi Rawas,250018
Musi Banyuasin,257055
Banyu Asin,219424
Ogan Komering Ulu Selatan,185711
Ogan Komering Ulu Timur,178230
Ogan Ilir,235867
Empat Lawang,187578
Penukal Abab Lematang Ilir,-
Musi Rawas Utara,-
Kota Palembang,294174
Kota Prabumulih,296865
Kota Pagar Alam,199053
Kota Lubuklinggau,268986
BENGKULU,231990
Bengkulu Selatan,210781
Rejang Lebong,239407
Bengkulu Utara,207952
Kaur,189746
Seluma,216250
Mukomuko,215021
Lebong,197915
Kepahiang,203162
Bengkulu Tengah,-
Kota Bengkulu,325600
LAMPUNG,212755
Lampung Barat,211568
Tanggamus,198076
Lampung Selatan,202179
Lampung Timur,202700
Lampung Tengah,212964
Lampung Utara,215244
Way Kanan,185827
Tulangbawang,198679
Pesawaran,201750
Pringsewu,-
Mesuji,-
Tulang Bawang Barat,-
Pesisir Barat,-
Kota Bandar Lampung,283496
Kota Metro,197240
KEP. BANGKA BELITUNG,280862
Bangka,254400
Belitung,334165
Bangka Barat,246853
Bangka Tengah,311419
Bangka Selatan,249001
Belitung Timur,305974
Kota Pangkal Pinang,303694
KEPULAUAN RIAU,332602
Karimun,237250
Bintan,260143
Natuna,205825
Lingga,289115
Kepulauan Anambas,-
Kota Batam,374186
Kota Tanjung Pinang,412718
DKI JAKARTA,320333
Kepulauan Seribu,345933
Kota Jakarta Selatan,372659
Kota Jakarta Timur,305674
Kota Jakarta Pusat,322184
Kota Jakarta Barat,300134
Kota Jakarta Utara,296947
JAWA BARAT,220068
Bogor,197319
Sukabumi,174793
Cianjur,192176
Bandung,203702
Garut,167190
Tasikmalaya,172491
Ciamis,193652
Kuningan,183795
Cirebon,211501
Majalengka,241830
Sumedang,216053
Indramayu,242931
Subang,219956
Purwakarta,211820
Karawang,239832
Bekasi,244603
Bandung Barat,202705
Pangandaran,-
Kota Bogor,256414
Kota Sukabumi,269925
Kota Bandung,262093
Kota Cirebon,230810
Kota Bekasi,299432
Kota Depok,283218
Kota Cimahi,262440
Kota Tasikmalaya,243897
Kota Banjar,179144
JAWA TENGAH,201651
Cilacap,191167
Banyumas,208583
Purbalingga,194529
Banjarnegara,160345
Kebumen,195589
Purworejo,194292
Wonosobo,187932
Magelang,169158
Boyolali,195538
Klaten,241608
Sukoharjo,211928
Wonogiri,182083
Karanganyar,202500
Sragen,192530
Grobogan,205468
Blora,174951
Rembang,200216
Pati,224390
Kudus,218411
Jepara,206549
Demak,210260
Semarang,189612
Temanggung,164343
Kendal,199020
Batang,155558
Pekalongan,210168
Pemalang,198295
Tegal,187048
Brebes,219119
Kota Magelang,237967
Kota Surakarta,286158
Kota Salatiga,221701
Kota Semarang,226271
Kota Pekalongan,231562
Kota Tegal,248173
D I YOGYAKARTA,220830
Kulon Progo,205585
Bantul,224373
Gunung Kidul,186232
Sleman,226256
Kota Yogyakarta,265168
JAWA TIMUR,202208
Pacitan,162568
Ponorogo,177006
Trenggalek,179204
Tulungagung,196550
Blitar,176518
Kediri,182474
Malang,180749
Lumajang,168586
Jember,183768
Banyuwangi,200161
Bondowoso,208999
Situbondo,175446
Probolinggo,225151
Pasuruan,200282
Sidoarjo,228178
Mojokerto,201780
Jombang,210867
Nganjuk,211670
Madiun,187639
Magetan,185286
Ngawi,174195
Bojonegoro,192476
Tuban,188304
Lamongan,201771
Gresik,235399
Bangkalan,207836
Sampang,191138
Pamekasan,187128
Sumenep,187184
Kota Kediri,244167
Kota Blitar,213589
Kota Malang,252024
Kota Probolinggo,340435
Kota Pasuruan,224124
Kota Mojokerto,224439
Kota Madiun,220079
Kota Surabaya,255875
Kota Batu,231877
BANTEN,222292
Pandeglang,190256
Lebak,174367
Tangerang,241607
Serang,180526
Kota Tangerang,284093
Kota Cilegon,230354
Kota Serang,185597
Kota Tangerang Selatan,-
BALI,232234
Jembrana,220457
Tabanan,243951
Badung,282559
Gianyar,215040
Klungkung,186830
Bangli,194886
Karang Asem,186076
Buleleng,215158
Kota Denpasar,279911
NUSA TENGGARA BARAT,213007
Lombok Barat,212630
Lombok Tengah,211004
Lombok Timur,218854
Sumbawa,203436
Dompu,182699
Bima,190501
Sumbawa Barat,269356
Lombok Utara,-
Kota Mataram,242244
Kota Bima,206165
NUSA TENGGARA TIMUR,167492
Sumba Barat,174315
Sumba Timur,176438
Kupang,156269
Timor Tengah Selatan,148332
Timor Tengah Utara,161964
Belu,153931
Alor,155095
Lembata,176992
Flores Timur,147023
Sikka,154559
Ende,182813
Ngada,163486
Manggarai,168898
Rote Ndao,147436
Manggarai Barat,161737
Sumba Tengah,145321
Sumba Barat Daya,184198
Nagekeo,160331
Manggarai Timur,161358
Sabu Raijua,-
Malaka,-
Kota Kupang,255060
KALIMANTAN BARAT,189184
Sambas,184496
Bengkayang,168633
Landak,170610
Pontianak,162518
Sanggau,150982
Ketapang,203276
Sintang,228791
Kapuas Hulu,199981
Sekadau,156290
Melawi,227859
Kayong Utara,143177
Kubu Raya,177219
Kota Pontianak,218802
Kota Singkawang,215275
KALIMANTAN TENGAH,212268
Kotawaringin Barat,212060
Kotawaringin Timur,219104
Kapuas,169307
Barito Selatan,227118
Barito Utara,232267
Sukamara,240051
Lamandau,219016
Seruyan,225683
Katingan,234586
Pulang Pisau,210428
Gunung Mas,216805
Barito Timur,250920
Murung Raya,236786
Kota Palangka Raya,193662
KALIMANTAN SELATAN,212343
Tanah Laut,216687
Kota Baru,202613
Banjar,202784
Barito Kuala,162845
Tapin,193902
Hulu Sungai Selatan,225737
Hulu Sungai Tengah,183902
Hulu Sungai Utara,216012
Tabalong,220762
Tanah Bumbu,219492
Balangan,198968
Kota Banjarmasin,235341
Kota Banjar Baru,267867
KALIMANTAN TIMUR,269275
Paser,223208
Kutai Barat,245687
Kutai Kartanegara,248209
Kutai Timur,273021
Berau,279428
Penajam Paser Utara,234325
Mahakam Hulu,-
Kota Balikpapan,281245
Kota Samarinda,306730
Kota Bontang,285402
KALIMANTAN UTARA,269275
Malinau,289548
Bulungan,229979
Tana Tidung,217458
Nunukan,211809
Kota Tarakan,300459
SULAWESI UTARA,208822
Bolaang Mongondow,206029
Minahasa,185723
Kepulauan Sangihe,173929
Kepulauan Talaud,182194
Minahasa Selatan,210706
Minahasa Utara,207593
Bolaang Mongondow Utara,167549
Siau Tagulandang Biaro,200972
Minahasa Tenggara,220945
Bolaang Mongondow Selatan,-
Bolaang Mongondow Timur,-
Kota Manado,226206
Kota Bitung,248786
Kota Tomohon,242577
