38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2015,,,2015,,,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,2.24,1.84,-,3.44,3.61,-,3.1,3.11,-
SUMATERA UTARA,1.6,1.57,-,1.7,2.21,-,1.65,1.89,-
SUMATERA BARAT,0.79,1.06,-,1.1,1.39,-,0.98,1.26,-
RIAU,1.09,0.83,-,1.57,1.85,-,1.38,1.45,-
JAMBI,2.13,1.61,-,1.12,1.6,-,1.42,1.6,-
SUMATERA SELATAN,2.35,1.27,-,2.53,2.21,-,2.46,1.88,-
BENGKULU,3.93,4.19,-,3.28,3.38,-,3.48,3.63,-
LAMPUNG,1.67,1.54,-,2.6,2.65,-,2.36,2.36,-
KEP. BANGKA BELITUNG,0.38,0.57,-,0.95,1.22,-,0.67,0.9,-
KEP. RIAU,0.91,0.8,-,1.26,1.2,-,0.97,0.86,-
DKI JAKARTA,0.52,0.27,-,0,-,-,0.52,0.27,-
JAWA BARAT,1.51,1.4,-,1.87,2.23,-,1.63,1.67,-
JAWA TENGAH,2.02,2.03,-,2.8,2.28,-,2.44,2.17,-
DI YOGYAKARTA,2.55,2.19,-,3.7,2.57,-,2.93,2.32,-
JAWA TIMUR,1.28,1.28,-,2.79,2.9,-,2.06,2.13,-
BANTEN,0.87,0.82,-,1.08,1.07,-,0.94,0.9,-
BALI,0.63,1.09,-,0.71,1.2,-,0.66,1.13,-
NUSA TENGGARA BARAT,4.05,2.68,-,2.66,2.76,-,3.25,2.72,-
NUSA TENGGARA TIMUR,1.66,1.78,-,4.66,5.33,-,4.06,4.62,-
KALIMANTAN BARAT,0.86,0.77,-,1.48,1.23,-,1.29,1.09,-
KALIMANTAN TENGAH,0.73,1.05,-,0.97,1,-,0.89,1.02,-
KALIMANTAN SELATAN,0.55,1.13,-,0.89,0.87,-,0.74,0.98,-
KALIMANTAN TIMUR,0.62,0.29,-,1.38,1.37,-,0.9,0.69,-
KALIMANTAN UTARA,0.51,0.41,-,1.14,1.08,-,0.79,0.7,-
SULAWESI UTARA,0.82,0.63,-,1.78,2.3,-,1.34,1.54,-
SULAWESI TENGAH,1.78,1.41,-,2.76,2.69,-,2.52,2.37,-
SULAWESI SELATAN,0.66,0.41,-,2.3,2.28,-,1.69,1.58,-
SULAWESI TENGGARA,1.29,1.71,-,3.18,2.19,-,2.64,2.05,-
GORONTALO,1.02,1.32,-,5.53,4.01,-,3.97,3.08,-
SULAWESI BARAT,1.49,0.9,-,2.04,1.7,-,1.93,1.54,-
MALUKU,1.36,1.98,-,4.89,6.57,-,3.52,4.79,-
MALUKU UTARA,0.29,0.61,-,0.86,1.35,-,0.7,1.15,-
PAPUA BARAT,0.72,0.82,-,9.6,8.02,-,6.24,5.29,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.79,0.18,-,11.72,1.09,-,8.82,0.85,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,-,2.55,2.4,-,1.97,1.84,-
