38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2010,,,2010,,,2010,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,2.83,-,-,4.63,-,-,4.11
SUMATERA UTARA,-,-,2.01,-,-,2.07,-,-,2.04
SUMATERA BARAT,-,-,1.16,-,-,1.67,-,-,1.49
RIAU,-,-,0.88,-,-,1.89,-,-,1.38
JAMBI,-,-,1.62,-,-,0.78,-,-,1.05
SUMATERA SELATAN,-,-,2.72,-,-,2.57,-,-,2.63
BENGKULU,-,-,3.16,-,-,2.53,-,-,2.75
LAMPUNG,-,-,2.53,-,-,3.14,-,-,2.98
KEP. BANGKA BELITUNG,-,-,0.54,-,-,1.28,-,-,0.93
KEP. RIAU,-,-,1.25,-,-,0.83,-,-,1.05
DKI JAKARTA,-,-,0.45,-,-,-,-,-,0.45
JAWA BARAT,-,-,1.64,-,-,2.35,-,-,1.93
JAWA TENGAH,-,-,2.09,-,-,2.86,-,-,2.49
DI YOGYAKARTA,-,-,2.27,-,-,3.89,-,-,2.85
JAWA TIMUR,-,-,1.53,-,-,3.18,-,-,2.38
BANTEN,-,-,0.79,-,-,1.3,-,-,1
BALI,-,-,0.52,-,-,0.96,-,-,0.71
NUSA TENGGARA BARAT,-,-,5.65,-,-,2.41,-,-,3.77
NUSA TENGGARA TIMUR,-,-,3.12,-,-,5.09,-,-,4.74
KALIMANTAN BARAT,-,-,0.82,-,-,1.31,-,-,1.18
KALIMANTAN TENGAH,-,-,0.86,-,-,1.1,-,-,1.02
KALIMANTAN SELATAN,-,-,0.57,-,-,0.77,-,-,0.69
KALIMANTAN TIMUR,-,-,0.57,-,-,2.44,-,-,1.27
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,1.12,-,-,1.16,-,-,1.14
SULAWESI TENGAH,-,-,1.81,-,-,3.43,-,-,3.09
SULAWESI SELATAN,-,-,0.55,-,-,2.55,-,-,1.91
SULAWESI TENGGARA,-,-,1.1,-,-,3.8,-,-,3.18
GORONTALO,-,-,0.88,-,-,5.63,-,-,4.14
SULAWESI BARAT,-,-,0.84,-,-,1.9,-,-,1.55
MALUKU,-,-,1.36,-,-,6.59,-,-,5.23
MALUKU UTARA,-,-,0.06,-,-,2.07,-,-,1.47
PAPUA BARAT,-,-,1.14,-,-,13.22,-,-,10.47
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.78,-,-,11.89,-,-,9.36
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,1.57,2.55,2.4,2.8,1.97,1.84,2.21
