38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2021,,,2021,,,2021,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.79,1.7,-,3.4,3.59,-,2.86,2.95,-
SUMATERA UTARA,1.5,1.4,-,1.54,1.51,-,1.52,1.45,-
SUMATERA BARAT,0.87,0.74,-,1.21,1.18,-,1.04,0.96,-
RIAU,1.01,1.12,-,1.09,1.08,-,1.06,1.09,-
JAMBI,2.2,1.81,-,0.85,0.74,-,1.29,1.09,-
SUMATERA SELATAN,2.19,2.17,-,2.3,2.42,-,2.26,2.33,-
BENGKULU,2.78,2.56,-,2.47,2.39,-,2.57,2.45,-
LAMPUNG,1.27,1.25,-,2.17,2.13,-,1.88,1.85,-
KEP. BANGKA BELITUNG,0.4,0.44,-,0.88,0.71,-,0.61,0.56,-
KEP. RIAU,1.02,0.88,-,1.75,1.82,-,1.07,0.95,-
DKI JAKARTA,0.64,0.75,-,-,-,-,0.64,0.75,-
JAWA BARAT,1.36,1.23,-,1.88,1.52,-,1.47,1.29,-
JAWA TENGAH,1.68,1.75,-,2.15,2.15,-,1.91,1.94,-
DI YOGYAKARTA,2.35,2.05,-,2.61,2.11,-,2.42,2.06,-
JAWA TIMUR,1.31,1.1,-,2.48,2.16,-,1.84,1.58,-
BANTEN,0.98,1.14,-,1.37,1.36,-,1.09,1.2,-
BALI,0.65,0.71,-,0.75,0.88,-,0.68,0.76,-
NUSA TENGGARA BARAT,2.35,2.43,-,2.13,2.57,-,2.24,2.5,-
NUSA TENGGARA TIMUR,1.39,1.4,-,4.81,5.93,-,3.96,4.79,-
KALIMANTAN BARAT,0.59,0.62,-,1.28,1.24,-,1.03,1.02,-
KALIMANTAN TENGAH,0.69,0.6,-,0.73,0.86,-,0.71,0.75,-
KALIMANTAN SELATAN,0.58,0.47,-,0.76,0.62,-,0.67,0.55,-
KALIMANTAN TIMUR,1.02,0.88,-,1.67,1.38,-,1.22,1.04,-
KALIMANTAN UTARA,0.7,0.79,-,1.15,1.07,-,0.87,0.89,-
SULAWESI UTARA,0.8,0.73,-,1.76,1.42,-,1.24,1.04,-
SULAWESI TENGAH,1.55,1.48,-,2.82,2.59,-,2.43,2.24,-
SULAWESI SELATAN,0.79,0.63,-,2.06,2.03,-,1.49,1.4,-
SULAWESI TENGGARA,1.33,1.31,-,2.62,3.02,-,2.16,2.4,-
GORONTALO,0.58,0.55,-,4.66,4.79,-,2.87,2.92,-
SULAWESI BARAT,1.52,1.25,-,1.82,2.07,-,1.76,1.9,-
MALUKU,0.94,0.92,-,5.65,5.52,-,3.58,3.49,-
MALUKU UTARA,0.97,0.96,-,0.97,0.93,-,0.97,0.94,-
PAPUA BARAT,1.2,0.91,-,8.73,9.58,-,5.49,5.84,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.85,0.86,-,7.52,8.53,-,5.6,6.31,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.29,1.23,-,2.27,2.25,-,1.71,1.67,-
