38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2009,,,2009,,,2009,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,3.45,-,-,4.87,-,-,4.46
SUMATERA UTARA,-,-,1.86,-,-,1.97,-,-,1.92
SUMATERA BARAT,-,-,1.24,-,-,1.49,-,-,1.41
RIAU,-,-,0.95,-,-,1.55,-,-,1.25
JAMBI,-,-,2.31,-,-,0.94,-,-,1.38
SUMATERA SELATAN,-,-,3.68,-,-,2.67,-,-,3.06
BENGKULU,-,-,3.58,-,-,2.65,-,-,2.98
LAMPUNG,-,-,3.88,-,-,3.96,-,-,3.94
KEP. BANGKA BELITUNG,-,-,0.95,-,-,1.43,-,-,1.2
KEP. RIAU,-,-,2.75,-,-,1.2,-,-,2.02
DKI JAKARTA,-,-,0.57,-,-,-,-,-,0.57
JAWA BARAT,-,-,1.71,-,-,2.29,-,-,1.95
JAWA TENGAH,-,-,2.56,-,-,3.34,-,-,2.96
DI YOGYAKARTA,-,-,2.84,-,-,4.74,-,-,3.52
JAWA TIMUR,-,-,2.18,-,-,3.54,-,-,2.88
BANTEN,-,-,0.93,-,-,1.91,-,-,1.32
BALI,-,-,0.77,-,-,0.7,-,-,0.74
NUSA TENGGARA BARAT,-,-,7.57,-,-,3.41,-,-,5.15
NUSA TENGGARA TIMUR,-,-,2.63,-,-,4.47,-,-,4.14
KALIMANTAN BARAT,-,-,1.2,-,-,1.68,-,-,1.55
KALIMANTAN TENGAH,-,-,0.62,-,-,1.24,-,-,1.03
KALIMANTAN SELATAN,-,-,0.72,-,-,0.74,-,-,0.73
KALIMANTAN TIMUR,-,-,0.63,-,-,2.96,-,-,1.51
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,1.27,-,-,1.77,-,-,1.55
SULAWESI TENGAH,-,-,1.4,-,-,4.8,-,-,4.09
SULAWESI SELATAN,-,-,0.67,-,-,2.74,-,-,2.08
SULAWESI TENGGARA,-,-,0.65,-,-,4.27,-,-,3.44
GORONTALO,-,-,0.9,-,-,6.26,-,-,4.59
SULAWESI BARAT,-,-,2.91,-,-,2.25,-,-,2.47
MALUKU,-,-,1.75,-,-,6.94,-,-,5.59
MALUKU UTARA,-,-,0.07,-,-,2.02,-,-,1.44
PAPUA BARAT,-,-,0.43,-,-,12.51,-,-,9.75
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.8,-,-,11.51,-,-,9.07
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,1.91,2.55,2.4,3.05,1.97,1.84,2.5
