38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2008,,,2008,,,2008,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,3.55,-,-,5.47,-,-,4.92
SUMATERA UTARA,-,-,2.08,-,-,2.25,-,-,2.17
SUMATERA BARAT,-,-,1.46,-,-,1.68,-,-,1.6
RIAU,-,-,1.42,-,-,1.84,-,-,1.63
JAMBI,-,-,2.74,-,-,0.99,-,-,1.56
SUMATERA SELATAN,-,-,3.82,-,-,2.73,-,-,3.15
BENGKULU,-,-,4.3,-,-,3.43,-,-,3.74
LAMPUNG,-,-,3.79,-,-,3.84,-,-,3.83
KEP. BANGKA BELITUNG,-,-,1.15,-,-,1.4,-,-,1.28
KEP. RIAU,-,-,1.88,-,-,2.29,-,-,2.07
DKI JAKARTA,-,-,0.72,-,-,-,-,-,0.72
JAWA BARAT,-,-,1.78,-,-,2.72,-,-,2.17
JAWA TENGAH,-,-,2.97,-,-,3.78,-,-,3.39
DI YOGYAKARTA,-,-,2.72,-,-,4.49,-,-,3.35
JAWA TIMUR,-,-,2.34,-,-,4.38,-,-,3.38
BANTEN,-,-,1.04,-,-,1.25,-,-,1.12
BALI,-,-,0.74,-,-,0.98,-,-,0.84
NUSA TENGGARA BARAT,-,-,5.99,-,-,3.41,-,-,4.49
NUSA TENGGARA TIMUR,-,-,3.14,-,-,5.25,-,-,4.87
KALIMANTAN BARAT,-,-,1.84,-,-,1.59,-,-,1.66
KALIMANTAN TENGAH,-,-,0.9,-,-,1.76,-,-,1.47
KALIMANTAN SELATAN,-,-,0.75,-,-,1.23,-,-,1.03
KALIMANTAN TIMUR,-,-,1.01,-,-,2.6,-,-,1.61
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,1.08,-,-,1.87,-,-,1.53
SULAWESI TENGAH,-,-,2.22,-,-,4.89,-,-,4.33
SULAWESI SELATAN,-,-,1.2,-,-,3.03,-,-,2.44
SULAWESI TENGGARA,-,-,0.82,-,-,4.61,-,-,3.74
GORONTALO,-,-,1.33,-,-,6.08,-,-,4.59
SULAWESI BARAT,-,-,2.38,-,-,2.75,-,-,2.63
MALUKU,-,-,1.7,-,-,7.37,-,-,5.89
MALUKU UTARA,-,-,0.4,-,-,2.18,-,-,1.65
PAPUA BARAT,-,-,0.73,-,-,11.67,-,-,9.18
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,1.73,-,-,13.6,-,-,10.89
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,2.07,2.55,2.4,3.42,1.97,1.84,2.77
