38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2011,,,2011,,,2011,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,-,-,2.78,-,-,3.78,-,-,3.5
SUMATERA UTARA,-,-,1.84,-,-,1.85,-,-,1.84
SUMATERA BARAT,-,-,1.25,-,-,1.42,-,-,1.36
RIAU,-,-,0.77,-,-,1.49,-,-,1.21
JAMBI,-,-,1.31,-,-,0.81,-,-,0.96
SUMATERA SELATAN,-,-,2.97,-,-,2.29,-,-,2.54
BENGKULU,-,-,2.83,-,-,2.49,-,-,2.6
LAMPUNG,-,-,2.07,-,-,3.02,-,-,2.77
KEP. BANGKA BELITUNG,-,-,0.33,-,-,0.98,-,-,0.66
KEP. RIAU,-,-,0.99,-,-,1.12,-,-,1.01
DKI JAKARTA,-,-,0.6,-,-,-,-,-,0.6
JAWA BARAT,-,-,1.51,-,-,2.14,-,-,1.72
JAWA TENGAH,-,-,2.46,-,-,2.64,-,-,2.56
DI YOGYAKARTA,-,-,1.93,-,-,3.67,-,-,2.51
JAWA TIMUR,-,-,1.51,-,-,2.96,-,-,2.27
BANTEN,-,-,0.67,-,-,1.36,-,-,0.9
BALI,-,-,0.76,-,-,0.52,-,-,0.66
NUSA TENGGARA BARAT,-,-,4.58,-,-,2.8,-,-,3.54
NUSA TENGGARA TIMUR,-,-,2.27,-,-,4.67,-,-,4.2
KALIMANTAN BARAT,-,-,0.91,-,-,1.38,-,-,1.24
KALIMANTAN TENGAH,-,-,0.82,-,-,1.07,-,-,0.99
KALIMANTAN SELATAN,-,-,0.54,-,-,1,-,-,0.81
KALIMANTAN TIMUR,-,-,0.66,-,-,1.35,-,-,0.92
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,-,-,0.89,-,-,1.28,-,-,1.1
SULAWESI TENGAH,-,-,1.93,-,-,3.03,-,-,2.76
SULAWESI SELATAN,-,-,0.67,-,-,2.21,-,-,1.65
SULAWESI TENGGARA,-,-,0.7,-,-,3.33,-,-,2.61
GORONTALO,-,-,0.9,-,-,5.17,-,-,3.72
SULAWESI BARAT,-,-,1.3,-,-,2.63,-,-,2.32
MALUKU,-,-,1.98,-,-,6.77,-,-,4.99
MALUKU UTARA,-,-,0.15,-,-,1.5,-,-,1.13
PAPUA BARAT,-,-,0.8,-,-,11.13,-,-,8.78
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,-,-,0.7,-,-,10.37,-,-,7.86
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.29,1.52,2.55,2.4,2.63,1.97,1.84,2.08
