38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2012,,,2012,,,2012,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,2.1,1.44,-,4.11,3.71,-,3.55,3.07,-
SUMATERA UTARA,1.65,2.04,-,1.46,1.61,-,1.55,1.82,-
SUMATERA BARAT,0.94,1.13,-,1.25,1.3,-,1.13,1.24,-
RIAU,0.93,0.97,-,1.32,1.23,-,1.17,1.13,-
JAMBI,1.5,2.37,-,1.09,0.93,-,1.22,1.37,-
SUMATERA SELATAN,2.58,2.04,-,1.75,1.75,-,2.05,1.85,-
BENGKULU,3.14,2.72,-,4.63,3.2,-,4.17,3.05,-
LAMPUNG,1.55,1.54,-,2.51,2.87,-,2.26,2.53,-
KEP. BANGKA BELITUNG,0.3,0.39,-,0.71,0.92,-,0.51,0.66,-
KEP. RIAU,1.09,0.81,-,0.67,0.99,-,1.01,0.85,-
DKI JAKARTA,0.5,0.56,-,-,-,-,0.5,0.56,-
JAWA BARAT,1.43,1.4,-,2.04,2.05,-,1.64,1.62,-
JAWA TENGAH,2.11,2.06,-,2.4,2.67,-,2.27,2.39,-
DI YOGYAKARTA,3.56,2.29,-,3.29,4.07,-,3.47,2.89,-
JAWA TIMUR,1.25,1.29,-,2.31,2.52,-,1.81,1.93,-
BANTEN,0.57,0.77,-,1.07,1.3,-,0.74,0.95,-
BALI,0.55,0.42,-,0.62,0.35,-,0.58,0.39,-
NUSA TENGGARA BARAT,6.08,4.4,-,2.38,2.34,-,3.92,3.2,-
NUSA TENGGARA TIMUR,1.98,2.59,-,3.58,3.68,-,3.27,3.47,-
KALIMANTAN BARAT,0.63,1.11,-,1.23,1.3,-,1.05,1.24,-
KALIMANTAN TENGAH,0.57,0.92,-,1.29,1.16,-,1.05,1.08,-
KALIMANTAN SELATAN,0.45,0.47,-,0.8,0.97,-,0.65,0.76,-
KALIMANTAN TIMUR,0.47,0.73,-,2,1.43,-,1.05,0.99,-
KALIMANTAN UTARA,0.68,1.14,-,1.3,1.21,-,1.02,1.18,-
SULAWESI UTARA,1.79,1.94,-,2.81,3.1,-,2.56,2.82,-
SULAWESI TENGAH,0.51,0.48,-,2.21,2.37,-,1.59,1.68,-
SULAWESI SELATAN,0.95,0.19,-,2.79,2.58,-,2.29,1.92,-
SULAWESI TENGGARA,0.28,0.64,-,4.29,4.53,-,2.92,3.21,-
GORONTALO,0.83,1.83,-,2.1,1.72,-,1.81,1.74,-
SULAWESI BARAT,1.74,1.61,-,6.24,6.03,-,4.56,4.38,-
MALUKU,0.28,0.08,-,1.82,1.14,-,1.4,0.85,-
MALUKU UTARA,1.23,0.65,-,9.78,7.88,-,7.23,5.71,-
PAPUA BARAT,0.65,1.28,-,10.47,9.49,-,7.91,7.35,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,1.4,1.38,-,2.36,2.42,-,1.88,1.9,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.4,1.38,-,2.36,2.42,-,1.88,1.9,-
