38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2014,,,2014,,,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.82,1.71,-,3.34,3.7,-,2.91,3.14,-
SUMATERA UTARA,1.24,1.56,-,1.69,1.86,-,1.47,1.71,-
SUMATERA BARAT,0.65,0.54,-,1.12,0.89,-,0.94,0.75,-
RIAU,0.89,0.73,-,1.09,1.5,-,1.01,1.2,-
JAMBI,1.35,1.19,-,0.91,1.1,-,1.05,1.12,-
SUMATERA SELATAN,2.11,2.34,-,2.33,2.44,-,2.25,2.41,-
BENGKULU,2.9,2.69,-,2.72,2.92,-,2.78,2.85,-
LAMPUNG,1.85,1.9,-,2.36,2.43,-,2.23,2.3,-
KEP. BANGKA BELITUNG,0.65,0.48,-,0.81,0.72,-,0.73,0.6,-
KEP. RIAU,1,0.67,-,0.61,1.09,-,0.94,0.74,-
DKI JAKARTA,0.39,0.6,-,-,0,-,0.39,0.6,-
JAWA BARAT,1.4,1.31,-,1.78,1.55,-,1.52,1.39,-
JAWA TENGAH,1.85,1.69,-,2.59,2.42,-,2.25,2.09,-
DI YOGYAKARTA,2.22,2.03,-,2.11,2.98,-,2.19,2.35,-
JAWA TIMUR,1.16,1.24,-,2.49,2.42,-,1.85,1.86,-
BANTEN,0.76,0.65,-,0.98,1.08,-,0.83,0.79,-
BALI,0.45,0.68,-,0.38,1.15,-,0.42,0.86,-
NUSA TENGGARA BARAT,2.73,3.9,-,2.44,2.22,-,2.56,2.92,-
NUSA TENGGARA TIMUR,1.82,1.66,-,3.71,3.64,-,3.34,3.25,-
KALIMANTAN BARAT,0.83,0.85,-,1.05,1.44,-,0.98,1.26,-
KALIMANTAN TENGAH,0.8,0.44,-,0.72,1.24,-,0.75,0.97,-
KALIMANTAN SELATAN,0.68,0.41,-,0.59,0.83,-,0.63,0.65,-
KALIMANTAN TIMUR,0.7,0.55,-,1.68,1.19,-,1.08,0.79,-
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,0.73,0.98,-,1.59,1.53,-,1.21,1.28,-
SULAWESI TENGAH,1.21,2.18,-,2.49,2.09,-,2.18,2.11,-
SULAWESI SELATAN,0.8,0.75,-,2.01,1.8,-,1.56,1.41,-
SULAWESI TENGGARA,0.86,0.96,-,2.43,2.53,-,1.99,2.09,-
GORONTALO,0.93,1.09,-,4.52,4.19,-,3.29,3.13,-
SULAWESI BARAT,0.98,2.21,-,1.58,1.86,-,1.44,1.94,-
MALUKU,1.53,1.14,-,5.23,5.99,-,3.8,4.11,-
MALUKU UTARA,0.44,0.4,-,1.35,1.44,-,1.1,1.16,-
PAPUA BARAT,1.3,1,-,8.28,8,-,6.2,5.92,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.73,0.48,-,8.96,8.48,-,6.84,6.42,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.25,1.25,-,2.26,2.25,-,1.75,1.75,-
