38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2018,,,2018,,,2018,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.58,1.52,-,3.42,3.41,-,2.85,2.8,-
SUMATERA UTARA,1.49,1.4,-,1.64,1.53,-,1.56,1.46,-
SUMATERA BARAT,0.66,0.88,-,1.33,1.03,-,1.04,0.96,-
RIAU,0.99,0.86,-,1.33,1.17,-,1.2,1.05,-
JAMBI,1.68,1.96,-,1.12,0.92,-,1.3,1.26,-
SUMATERA SELATAN,2.08,2.2,-,2.48,1.98,-,2.33,2.06,-
BENGKULU,2.51,2.18,-,2.64,2.43,-,2.59,2.35,-
LAMPUNG,1.48,1.39,-,2.28,2.36,-,2.04,2.06,-
KEP. BANGKA BELITUNG,0.36,0.38,-,1.06,1.14,-,0.69,0.73,-
KEP. RIAU,0.82,0.5,-,2.06,1.29,-,1,0.59,-
DKI JAKARTA,0.51,0.5,-,-,-,-,0.51,0.5,-
JAWA BARAT,1.13,1.06,-,1.84,1.36,-,1.32,1.13,-
JAWA TENGAH,1.57,1.43,-,2.14,1.83,-,1.85,1.63,-
DI YOGYAKARTA,1.91,1.58,-,2.48,1.85,-,2.07,1.65,-
JAWA TIMUR,1.17,1.2,-,2.8,3.04,-,1.95,2.07,-
BANTEN,0.69,0.68,-,1.14,1.45,-,0.82,0.91,-
BALI,0.5,0.44,-,1.04,0.67,-,0.69,0.52,-
NUSA TENGGARA BARAT,3.24,2.35,-,2.45,2.41,-,2.82,2.38,-
NUSA TENGGARA TIMUR,1.61,1.03,-,4.59,5.62,-,3.91,4.55,-
KALIMANTAN BARAT,0.84,0.68,-,1.36,1.48,-,1.18,1.21,-
KALIMANTAN TENGAH,0.88,0.63,-,0.76,0.94,-,0.81,0.82,-
KALIMANTAN SELATAN,0.61,0.61,-,0.76,0.88,-,0.69,0.75,-
KALIMANTAN TIMUR,0.66,0.54,-,1.23,1.24,-,0.85,0.76,-
KALIMANTAN UTARA,0.96,0.87,-,1.28,0.97,-,1.1,0.91,-
SULAWESI UTARA,0.77,0.63,-,1.77,2.05,-,1.27,1.31,-
SULAWESI TENGAH,2.02,1.3,-,2.88,2.68,-,2.64,2.28,-
SULAWESI SELATAN,0.83,0.56,-,2.07,2.52,-,1.55,1.68,-
SULAWESI TENGGARA,0.73,1.27,-,2.86,2.61,-,2.04,2.09,-
GORONTALO,0.78,0.3,-,4.5,4.95,-,3.06,3.02,-
SULAWESI BARAT,1.22,0.98,-,1.92,1.74,-,1.76,1.56,-
MALUKU,0.94,0.57,-,5.29,5.37,-,3.47,3.31,-
MALUKU UTARA,0.69,0.62,-,0.97,1.5,-,0.89,1.25,-
PAPUA BARAT,0.71,0.89,-,10.11,10.32,-,6.29,6.5,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.84,0.76,-,8.98,7.94,-,6.73,5.91,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.17,1.08,-,2.37,2.32,-,1.71,1.63,-
