38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2016,,,2016,,,2016,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,2.3,1.45,-,3.96,3.74,-,3.48,3.06,-
SUMATERA UTARA,1.75,1.62,-,1.79,2.3,-,1.77,1.96,-
SUMATERA BARAT,0.75,1.04,-,1.33,1.18,-,1.1,1.12,-
RIAU,0.93,1.33,-,1.63,1.37,-,1.36,1.36,-
JAMBI,2.1,2.41,-,1.19,0.97,-,1.47,1.42,-
SUMATERA SELATAN,1.79,1.89,-,2.14,2,-,2.02,1.96,-
BENGKULU,2.83,2.89,-,3.29,2.74,-,3.14,2.79,-
LAMPUNG,1.86,1.29,-,2.91,2.16,-,2.63,1.92,-
KEP. BANGKA BELITUNG,0.38,0.29,-,0.98,1.25,-,0.67,0.75,-
KEP. RIAU,0.77,0.62,-,1.53,1.23,-,0.89,0.71,-
DKI JAKARTA,0.46,0.43,-,-,-,-,0.46,0.43,-
JAWA BARAT,1.17,1.08,-,2.2,1.77,-,1.49,1.28,-
JAWA TENGAH,1.78,1.94,-,2.9,2.3,-,2.37,2.12,-
DI YOGYAKARTA,1.78,1.27,-,3.41,2.83,-,2.3,1.75,-
JAWA TIMUR,1.1,1.33,-,2.83,2.57,-,1.99,1.95,-
BANTEN,0.61,0.69,-,1.21,0.93,-,0.8,0.76,-
BALI,0.45,0.4,-,0.62,0.76,-,0.51,0.53,-
NUSA TENGGARA BARAT,3.14,3.03,-,2.9,2.31,-,3,2.63,-
NUSA TENGGARA TIMUR,1.75,1.7,-,5.44,4.4,-,4.69,3.83,-
KALIMANTAN BARAT,0.66,0.67,-,1.59,1.35,-,1.3,1.13,-
KALIMANTAN TENGAH,0.54,0.68,-,1.03,0.63,-,0.86,0.65,-
KALIMANTAN SELATAN,0.58,0.72,-,0.81,0.67,-,0.71,0.69,-
KALIMANTAN TIMUR,0.55,0.59,-,1.94,1.23,-,1.04,0.81,-
KALIMANTAN UTARA,0.59,0.74,-,1.04,1.06,-,0.78,0.88,-
SULAWESI UTARA,0.78,0.79,-,2.19,1.89,-,1.53,1.38,-
SULAWESI TENGAH,1.89,1.93,-,3.01,2.4,-,2.72,2.28,-
SULAWESI SELATAN,0.65,0.92,-,2.56,1.93,-,1.83,1.53,-
SULAWESI TENGGARA,1.33,1.14,-,3.37,2.35,-,2.76,1.98,-
GORONTALO,0.9,0.72,-,5.93,3.95,-,4.12,2.79,-
SULAWESI BARAT,0.9,1.69,-,2.22,1.9,-,1.95,1.85,-
MALUKU,1.47,1.25,-,5.06,5.44,-,3.63,3.76,-
MALUKU UTARA,0.37,0.25,-,0.86,1.18,-,0.73,0.92,-
PAPUA BARAT,0.86,1.3,-,11.19,9.51,-,7.21,6.28,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.88,0.79,-,12.39,9.82,-,9.37,7.44,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.19,1.21,-,2.74,2.32,-,1.94,1.74,-
