38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2024,,,2024,,,2024,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.58,0.95,-,3.18,2.5,-,2.62,1.95,-
SUMATERA UTARA,1.16,1.08,-,1.31,1.09,-,1.23,1.08,-
SUMATERA BARAT,0.61,0.35,-,0.89,1.14,-,0.74,0.73,-
RIAU,0.99,0.89,-,0.97,0.86,-,0.97,0.87,-
JAMBI,1.49,2.27,-,0.85,0.83,-,1.06,1.31,-
SUMATERA SELATAN,1.69,1.03,-,2.01,1.71,-,1.89,1.45,-
BENGKULU,2.44,1.57,-,1.94,1.97,-,2.11,1.84,-
LAMPUNG,1.11,1.17,-,1.75,2.04,-,1.53,1.74,-
KEP. BANGKA BELITUNG,0.47,0.49,-,0.93,1.12,-,0.66,0.75,-
KEP. RIAU,0.66,0.56,-,1.12,1.34,-,0.7,0.64,-
DKI JAKARTA,0.65,0.55,-,-,-,-,0.65,0.55,-
JAWA BARAT,1.15,0.96,-,1.45,1.44,-,1.21,1.05,-
JAWA TENGAH,1.51,1.5,-,1.79,1.72,-,1.64,1.6,-
DI YOGYAKARTA,1.73,1.39,-,2.28,2.09,-,1.87,1.56,-
JAWA TIMUR,0.98,1.02,-,2.13,2.23,-,1.48,1.54,-
BANTEN,0.95,0.79,-,1.04,0.82,-,0.97,0.8,-
BALI,0.43,0.4,-,0.69,0.55,-,0.5,0.44,-
NUSA TENGGARA BARAT,2.42,1.77,-,2.46,2.18,-,2.44,1.96,-
NUSA TENGGARA TIMUR,1.19,1.24,-,4.21,4.43,-,3.41,3.57,-
KALIMANTAN BARAT,0.46,0.66,-,1.1,1.01,-,0.86,0.88,-
KALIMANTAN TENGAH,0.81,0.69,-,0.76,0.68,-,0.78,0.68,-
KALIMANTAN SELATAN,0.5,0.44,-,0.65,0.53,-,0.57,0.48,-
KALIMANTAN TIMUR,0.62,0.51,-,1.21,0.82,-,0.8,0.61,-
KALIMANTAN UTARA,0.65,0.22,-,1.12,1,-,0.82,0.49,-
SULAWESI UTARA,0.69,0.59,-,1.61,2.03,-,1.1,1.22,-
SULAWESI TENGAH,1.44,0.95,-,2.43,2.1,-,2.1,1.72,-
SULAWESI SELATAN,0.76,0.86,-,1.96,1.86,-,1.39,1.38,-
SULAWESI TENGGARA,1.25,0.99,-,2.6,2.33,-,2.08,1.81,-
GORONTALO,0.51,0.39,-,4.87,3.96,-,2.88,2.3,-
SULAWESI BARAT,1.57,1.38,-,1.92,1.47,-,1.85,1.45,-
MALUKU,0.93,0.81,-,4.78,4.04,-,3.1,2.57,-
MALUKU UTARA,0.94,1.16,-,0.87,0.73,-,0.89,0.85,-
PAPUA BARAT,0.93,1.15,-,5.87,6.12,-,4.35,4.57,-
PAPUA BARAT DAYA,1.29,0.94,-,7.48,5.15,-,4.38,3.04,-
PAPUA,1.09,1.63,-,8.39,9.23,-,4.01,4.64,-
PAPUA SELATAN,0.44,0.23,-,5.59,7.19,-,3.71,4.63,-
PAPUA TENGAH,0.83,0.78,-,7.61,6.74,-,5.96,5.28,-
PAPUA PEGUNUNGAN,2.72,2.18,-,6.47,7.56,-,6.21,7.17,-
INDONESIA,1.1,0.98,-,1.98,1.92,-,1.46,1.36,-
