38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2022,,,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.62,2.13,-,2.93,3.3,-,2.49,2.9,-
SUMATERA UTARA,1.4,1.44,-,1.32,1.37,-,1.36,1.41,-
SUMATERA BARAT,0.65,0.78,-,0.96,0.94,-,0.8,0.86,-
RIAU,0.92,0.96,-,1.21,0.98,-,1.1,0.97,-
JAMBI,1.67,1.74,-,0.93,0.92,-,1.17,1.19,-
SUMATERA SELATAN,2,1.85,-,1.94,1.75,-,1.96,1.79,-
BENGKULU,2.61,2.06,-,2.34,2.23,-,2.43,2.17,-
LAMPUNG,1.23,1.33,-,2.1,1.88,-,1.82,1.7,-
KEP. BANGKA BELITUNG,0.39,0.3,-,0.87,0.6,-,0.6,0.43,-
KEP. RIAU,1,0.78,-,1.41,1.72,-,1.05,0.89,-
DKI JAKARTA,0.77,0.68,-,-,-,-,0.77,0.68,-
JAWA BARAT,1.21,1.14,-,1.72,1.62,-,1.32,1.24,-
JAWA TENGAH,1.56,1.64,-,2,1.88,-,1.77,1.75,-
DI YOGYAKARTA,1.93,1.38,-,2.25,1.95,-,2.01,1.53,-
JAWA TIMUR,1.14,1.21,-,2.21,2.13,-,1.62,1.62,-
BANTEN,0.96,0.71,-,1.22,1.03,-,1.03,0.79,-
BALI,0.62,0.45,-,0.64,0.86,-,0.62,0.56,-
NUSA TENGGARA BARAT,2.58,2.79,-,2.4,2.33,-,2.49,2.57,-
NUSA TENGGARA TIMUR,1.51,1.01,-,4.35,4.69,-,3.63,3.74,-
KALIMANTAN BARAT,0.54,0.69,-,1.33,1.34,-,1.04,1.1,-
KALIMANTAN TENGAH,0.83,0.58,-,0.98,0.72,-,0.91,0.66,-
KALIMANTAN SELATAN,0.52,0.39,-,0.75,0.86,-,0.63,0.63,-
KALIMANTAN TIMUR,0.67,0.63,-,1.69,1.12,-,0.99,0.78,-
KALIMANTAN UTARA,0.74,0.48,-,1.16,0.82,-,0.89,0.6,-
SULAWESI UTARA,0.83,0.75,-,1.52,1.55,-,1.15,1.11,-
SULAWESI TENGAH,1.49,1.83,-,2.84,2.29,-,2.41,2.15,-
SULAWESI SELATAN,0.76,0.76,-,1.87,2.13,-,1.36,1.5,-
SULAWESI TENGGARA,1.03,0.91,-,2.27,2.7,-,1.82,2.05,-
GORONTALO,0.32,0.67,-,5.18,4.63,-,3.04,2.85,-
SULAWESI BARAT,1.59,1.34,-,2.37,2.28,-,2.21,2.09,-
MALUKU,0.79,0.86,-,4.46,4.86,-,2.9,3.08,-
MALUKU UTARA,0.55,0.58,-,1.06,1.49,-,0.91,1.23,-
PAPUA BARAT,1.17,1.11,-,7.38,8.46,-,4.82,5.25,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.53,0.9,-,8.47,9.92,-,6.16,7.28,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.19,1.16,-,2.13,2.11,-,1.59,1.56,-
