38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2019,,,2019,,,2019,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.59,1.5,-,3.15,3.1,-,2.64,2.58,-
SUMATERA UTARA,1.23,1.34,-,1.54,1.65,-,1.37,1.48,-
SUMATERA BARAT,0.77,0.54,-,1.09,0.99,-,0.94,0.78,-
RIAU,0.91,0.9,-,1.27,1.25,-,1.13,1.11,-
JAMBI,1.74,1.68,-,0.98,0.92,-,1.23,1.17,-
SUMATERA SELATAN,2.04,2.26,-,2.16,2.07,-,2.12,2.14,-
BENGKULU,2.44,2.13,-,2.5,1.95,-,2.48,2.01,-
LAMPUNG,1.47,1.38,-,2.14,2.26,-,1.93,1.99,-
KEP. BANGKA BELITUNG,0.33,0.41,-,0.74,0.76,-,0.51,0.57,-
KEP. RIAU,0.59,0.83,-,1.58,1.51,-,0.69,0.9,-
DKI JAKARTA,0.5,0.4,-,-,-,-,0.5,0.4,-
JAWA BARAT,1.03,0.98,-,1.31,1.29,-,1.09,1.06,-
JAWA TENGAH,1.32,1.28,-,1.75,1.59,-,1.53,1.43,-
DI YOGYAKARTA,1.73,1.49,-,1.78,1.7,-,1.74,1.54,-
JAWA TIMUR,1.15,1.01,-,2.55,2.3,-,1.8,1.61,-
BANTEN,0.63,0.62,-,1.1,1.26,-,0.76,0.8,-
BALI,0.49,0.52,-,0.64,0.47,-,0.53,0.5,-
NUSA TENGGARA BARAT,2.5,2.17,-,2.17,2.07,-,2.33,2.12,-
NUSA TENGGARA TIMUR,1.16,1.32,-,5.09,5,-,4.15,4.13,-
KALIMANTAN BARAT,0.76,0.78,-,1.35,1.16,-,1.14,1.02,-
KALIMANTAN TENGAH,0.71,0.81,-,0.69,0.73,-,0.7,0.76,-
KALIMANTAN SELATAN,0.6,0.64,-,0.79,0.68,-,0.7,0.66,-
KALIMANTAN TIMUR,0.61,0.61,-,1.53,1.78,-,0.91,0.99,-
KALIMANTAN UTARA,0.85,0.77,-,1.63,1.66,-,1.16,1.12,-
SULAWESI UTARA,0.77,0.46,-,1.62,1.36,-,1.18,0.89,-
SULAWESI TENGAH,1.43,1.98,-,2.71,3.71,-,2.33,3.19,-
SULAWESI SELATAN,0.63,0.81,-,2.07,2.26,-,1.45,1.63,-
SULAWESI TENGGARA,1.35,1.45,-,2.79,2.74,-,2.23,2.23,-
GORONTALO,0.43,0.58,-,4.26,4.1,-,2.64,2.61,-
SULAWESI BARAT,1.32,1.65,-,1.88,1.37,-,1.75,1.44,-
MALUKU,0.72,0.65,-,5.33,6.14,-,3.32,3.74,-
MALUKU UTARA,0.53,0.25,-,1.03,1.41,-,0.89,1.08,-
PAPUA BARAT,0.96,0.82,-,8.97,9.16,-,5.6,5.64,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.71,0.59,-,9.76,8.26,-,7.17,6.07,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.05,1.02,-,2.18,2.11,-,1.55,1.5,-
