38 Provinsi,,,,,,,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2017,,,2017,,,2017,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,1.55,1.67,-,3.59,3.47,-,2.98,2.92,-
SUMATERA UTARA,1.53,1.42,-,1.9,1.58,-,1.71,1.5,-
SUMATERA BARAT,0.75,0.6,-,1.18,1.28,-,1,0.99,-
RIAU,1.33,0.97,-,1.32,0.95,-,1.32,0.96,-
JAMBI,1.75,1.32,-,1.07,0.84,-,1.28,0.99,-
SUMATERA SELATAN,2.04,2.02,-,2.36,2.63,-,2.24,2.4,-
BENGKULU,2.97,3.24,-,2.8,2.53,-,2.85,2.76,-
LAMPUNG,1.55,1.41,-,2.4,2.39,-,2.16,2.11,-
KEP. BANGKA BELITUNG,0.26,0.49,-,0.75,0.66,-,0.49,0.57,-
KEP. RIAU,0.86,1.24,-,1.61,0.88,-,0.97,1.18,-
DKI JAKARTA,0.49,0.61,-,-,-,-,0.49,0.61,-
JAWA BARAT,1.2,1.19,-,2.07,1.95,-,1.45,1.39,-
JAWA TENGAH,1.83,1.79,-,2.59,2.44,-,2.21,2.12,-
DI YOGYAKARTA,2.15,1.79,-,2.29,2.86,-,2.19,2.09,-
JAWA TIMUR,1.18,1.37,-,2.6,2.86,-,1.87,2.09,-
BANTEN,0.7,0.71,-,1.22,0.94,-,0.86,0.78,-
BALI,0.58,0.49,-,0.87,0.67,-,0.68,0.55,-
NUSA TENGGARA BARAT,3.59,3,-,2.76,2.32,-,3.13,2.63,-
NUSA TENGGARA TIMUR,1.82,1.82,-,5.03,4.83,-,4.34,4.16,-
KALIMANTAN BARAT,0.91,0.7,-,1.38,1.18,-,1.23,1.02,-
KALIMANTAN TENGAH,0.78,0.79,-,0.87,0.87,-,0.84,0.84,-
KALIMANTAN SELATAN,0.56,0.46,-,0.85,0.97,-,0.72,0.74,-
KALIMANTAN TIMUR,0.47,0.56,-,1.71,1.5,-,0.89,0.87,-
KALIMANTAN UTARA,0.99,1.05,-,1.51,1.71,-,1.21,1.32,-
SULAWESI UTARA,0.79,0.84,-,1.89,1.73,-,1.37,1.3,-
SULAWESI TENGAH,2.05,1.85,-,2.73,3.14,-,2.55,2.8,-
SULAWESI SELATAN,0.81,0.83,-,2.32,2.65,-,1.72,1.92,-
SULAWESI TENGGARA,0.95,1.18,-,2.3,2.61,-,1.87,2.09,-
GORONTALO,0.87,0.58,-,5.29,4.9,-,3.68,3.31,-
SULAWESI BARAT,0.89,0.98,-,2.14,2.06,-,1.88,1.81,-
MALUKU,1.22,1.57,-,5.07,4.71,-,3.5,3.41,-
MALUKU UTARA,0.67,0.57,-,0.86,0.91,-,0.81,0.81,-
PAPUA BARAT,0.99,0.83,-,10.43,11.81,-,6.74,7.41,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,0.65,0.57,-,10.03,8.4,-,7.5,6.25,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,1.24,1.24,-,2.49,2.43,-,1.83,1.79,-
