Wilayah,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Daerah,,
,2011,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,253016,263594,-
Desa,213395,223181,-
Kota+Desa,-,-,-
