Wilayah,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Daerah,,
,1998,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,-,-,96959
Desa,-,-,72780
Kota+Desa,-,-,-
