Wilayah,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Daerah,,
,2004,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,-,-,143455
Desa,-,-,108725
Kota+Desa,-,-,-
