38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2019,,,2019,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,501617,517900,-,479569,497615,-
SUMATERA UTARA,483667,506538,-,445815,470545,-
SUMATERA BARAT,526008,551366,-,483939,510457,-
RIAU,513739,546515,-,491391,510421,-
JAMBI,511654,524643,-,418821,437987,-
SUMATERA SELATAN,446706,461122,-,389786,406006,-
BENGKULU,538508,568783,-,481918,499623,-
LAMPUNG,463654,477071,-,398937,416694,-
KEP. BANGKA BELITUNG,671054,705147,-,685433,725743,-
KEP. RIAU,597894,605210,-,556248,577259,-
DKI JAKARTA,637260,663355,-,-,-,-
JAWA BARAT,388979,402254,-,376860,391009,-
JAWA TENGAH,372882,387646,-,365607,376099,-
DI YOGYAKARTA,452628,472666,-,378873,392748,-
JAWA TIMUR,411731,418570,-,382327,388075,-
BANTEN,484618,507198,-,412007,433925,-
BALI,408795,424292,-,383118,387546,-
NUSA TENGGARA BARAT,396696,405087,-,374123,380691,-
NUSA TENGGARA TIMUR,441625,467314,-,353684,359011,-
KALIMANTAN BARAT,456525,477154,-,429220,441084,-
KALIMANTAN TENGAH,418029,443674,-,449184,464931,-
KALIMANTAN SELATAN,470293,483766,-,443928,470447,-
KALIMANTAN TIMUR,614221,643047,-,597451,628354,-
KALIMANTAN UTARA,679660,699082,-,609733,623915,-
SULAWESI UTARA,369608,377597,-,372194,381883,-
SULAWESI TENGAH,457193,481436,-,433870,460187,-
SULAWESI SELATAN,338997,354770,-,322223,331063,-
SULAWESI TENGGARA,336877,356235,-,321197,340065,-
GORONTALO,339000,353074,-,328597,351940,-
SULAWESI BARAT,328806,340649,-,328014,339838,-
MALUKU,520390,545855,-,499701,542606,-
MALUKU UTARA,474475,484064,-,432815,436033,-
PAPUA BARAT,597406,618279,-,555072,571637,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,588744,603458,-,520117,538088,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,442063,458380,-,404398,418515,-
