38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2018,,,2018,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,486338,496752,-,454740,467242,-
SUMATERA UTARA,448363,465790,-,421586,435492,-
SUMATERA BARAT,496142,507557,-,460249,466430,-
RIAU,491379,499402,-,471687,478445,-
JAMBI,487791,492364,-,398501,401765,-
SUMATERA SELATAN,437983,441049,-,374527,379052,-
BENGKULU,516954,530655,-,465424,474010,-
LAMPUNG,444246,453053,-,385965,392201,-
KEP. BANGKA BELITUNG,622935,656148,-,638300,672104,-
KEP. RIAU,563993,570910,-,528788,543187,-
DKI JAKARTA,593108,607778,-,-,-,-
JAWA BARAT,368680,372260,-,364151,367805,-
JAWA TENGAH,353240,359526,-,348206,355306,-
DI YOGYAKARTA,426580,432018,-,366256,369606,-
JAWA TIMUR,385009,399334,-,361493,368793,-
BANTEN,448518,468572,-,390309,405965,-
BALI,387566,393989,-,372828,376733,-
NUSA TENGGARA BARAT,377145,384479,-,356361,363755,-
NUSA TENGGARA TIMUR,418525,421855,-,336584,342303,-
KALIMANTAN BARAT,423128,434470,-,402349,413806,-
KALIMANTAN TENGAH,387139,403547,-,426596,440649,-
KALIMANTAN SELATAN,441218,447876,-,414494,424670,-
KALIMANTAN TIMUR,576265,601619,-,570012,589588,-
KALIMANTAN UTARA,604691,647330,-,561681,581681,-
SULAWESI UTARA,340347,352765,-,348023,360907,-
SULAWESI TENGAH,434414,437697,-,405707,418035,-
SULAWESI SELATAN,314549,327725,-,299917,306250,-
SULAWESI TENGGARA,311241,324276,-,298702,311592,-
GORONTALO,318195,327369,-,314727,323133,-
SULAWESI BARAT,321324,326426,-,318512,323561,-
MALUKU,467727,484316,-,448337,466508,-
MALUKU UTARA,428897,449693,-,405558,415541,-
PAPUA BARAT,530295,583530,-,505941,544623,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,542542,566903,-,482000,499615,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,415614,425770,-,383908,392154,-
