38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2015,,,2015,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,410414,420324,-,382117,394419,-
SUMATERA UTARA,364320,379898,-,331895,352637,-
SUMATERA BARAT,406335,423339,-,369753,391178,-
RIAU,404802,417768,-,395659,416780,-
JAMBI,406074,423855,-,316838,329895,-
SUMATERA SELATAN,365336,378739,-,305581,319994,-
BENGKULU,397489,425642,-,372171,404179,-
LAMPUNG,370839,386728,-,326283,346088,-
KEP. BANGKA BELITUNG,475478,516835,-,501532,542732,-
KEP. RIAU,454147,485496,-,420638,456933,-
DKI JAKARTA,487388,503038,-,-,-,-
JAWA BARAT,307487,318297,-,305618,319228,-
JAWA TENGAH,299011,308163,-,296864,310295,-
DI YOGYAKARTA,347787,359470,-,312249,324386,-
JAWA TIMUR,304918,314320,-,305404,318443,-
BANTEN,344855,365672,-,318497,336592,-
BALI,332999,341554,-,304005,314218,-
NUSA TENGGARA BARAT,328125,335284,-,304068,313466,-
NUSA TENGGARA TIMUR,364920,374355,-,281022,290363,-
KALIMANTAN BARAT,334575,347516,-,318792,337288,-
KALIMANTAN TENGAH,328674,339239,-,360670,374938,-
KALIMANTAN SELATAN,354103,371793,-,331966,352972,-
KALIMANTAN TIMUR,485887,504551,-,452999,476614,-
KALIMANTAN UTARA,489129,505262,-,458490,477645,-
SULAWESI UTARA,290820,302378,-,299177,311068,-
SULAWESI TENGAH,358399,376496,-,331855,353080,-
SULAWESI SELATAN,262163,274140,-,240175,254524,-
SULAWESI TENGGARA,269703,282230,-,252636,264371,-
GORONTALO,263288,274581,-,263846,275163,-
SULAWESI BARAT,257004,269080,-,263110,279594,-
MALUKU,400347,404929,-,399176,405502,-
MALUKU UTARA,360933,378538,-,337789,356325,-
PAPUA BARAT,452022,478699,-,435207,457222,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,440697,445057,-,388095,392446,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,342541,356378,-,317881,333034,-
