38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2014,,,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,383186,396939,-,350204,369232,-
SUMATERA UTARA,338234,349372,-,299145,312493,-
SUMATERA BARAT,374968,390862,-,333511,349824,-
RIAU,375286,386606,-,357009,374466,-
JAMBI,379183,390931,-,291534,302162,-
SUMATERA SELATAN,336929,346238,-,277509,285791,-
BENGKULU,362614,378881,-,325261,346395,-
LAMPUNG,336927,350024,-,295931,307818,-
KEP. BANGKA BELITUNG,439377,458055,-,448817,481226,-
KEP. RIAU,421733,431127,-,385071,399063,-
DKI JAKARTA,447797,459560,-,-,-,-
JAWA BARAT,288742,294700,-,277645,285076,-
JAWA TENGAH,279036,286014,-,267991,277802,-
DI YOGYAKARTA,327273,333561,-,286137,296429,-
JAWA TIMUR,287582,293391,-,278429,286798,-
BANTEN,315239,324902,-,281925,296241,-
BALI,310321,316235,-,271646,279140,-
NUSA TENGGARA BARAT,307147,315470,-,274136,285205,-
NUSA TENGGARA TIMUR,337367,340459,-,248606,251040,-
KALIMANTAN BARAT,291533,307789,-,279049,294044,-
KALIMANTAN TENGAH,307382,316683,-,323556,338130,-
KALIMANTAN SELATAN,322006,336782,-,298656,313954,-
KALIMANTAN TIMUR,448220,459004,-,404554,420427,-
KALIMANTAN UTARA,-,-,-,-,-,-
SULAWESI UTARA,265093,269212,-,257845,264321,-
SULAWESI TENGAH,336900,349978,-,303975,321009,-
SULAWESI SELATAN,240276,246416,-,211271,219109,-
SULAWESI TENGGARA,241921,254015,-,226220,238745,-
GORONTALO,246633,250157,-,241936,246290,-
SULAWESI BARAT,235934,245959,-,233215,246695,-
MALUKU,362783,369738,-,345536,355478,-
MALUKU UTARA,321231,339561,-,286242,307374,-
PAPUA BARAT,416158,440241,-,389812,423701,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,404944,408419,-,338206,340846,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,318514,326853,-,286097,296681,-
