38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2025,,,2025,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,716522,-,-,655435,-,-
SUMATERA UTARA,694542,-,-,630844,-,-
SUMATERA BARAT,753614,-,-,704232,-,-
RIAU,758174,-,-,683064,-,-
JAMBI,759799,-,-,618121,-,-
SUMATERA SELATAN,624550,-,-,557253,-,-
BENGKULU,754967,-,-,650887,-,-
LAMPUNG,659660,-,-,588958,-,-
KEP. BANGKA BELITUNG,926156,-,-,995150,-,-
KEP. RIAU,835161,-,-,797450,-,-
DKI JAKARTA,852768,-,-,-,-,-
JAWA BARAT,550729,-,-,535726,-,-
JAWA TENGAH,546576,-,-,527934,-,-
DI YOGYAKARTA,653421,-,-,545206,-,-
JAWA TIMUR,576188,-,-,534771,-,-
BANTEN,700646,-,-,611976,-,-
BALI,631180,-,-,542858,-,-
NUSA TENGGARA BARAT,574051,-,-,537105,-,-
NUSA TENGGARA TIMUR,666633,-,-,508645,-,-
KALIMANTAN BARAT,669721,-,-,595174,-,-
KALIMANTAN TENGAH,634029,-,-,667001,-,-
KALIMANTAN SELATAN,662876,-,-,637314,-,-
KALIMANTAN TIMUR,876210,-,-,843168,-,-
KALIMANTAN UTARA,921520,-,-,829827,-,-
SULAWESI UTARA,546021,-,-,510678,-,-
SULAWESI TENGAH,638441,-,-,617865,-,-
SULAWESI SELATAN,502530,-,-,456048,-,-
SULAWESI TENGGARA,520957,-,-,467814,-,-
GORONTALO,503854,-,-,487598,-,-
SULAWESI BARAT,473493,-,-,476004,-,-
MALUKU,781403,-,-,738005,-,-
MALUKU UTARA,711096,-,-,642614,-,-
PAPUA BARAT,959457,-,-,769107,-,-
PAPUA BARAT DAYA,835719,-,-,782579,-,-
PAPUA,797056,-,-,599432,-,-
PAPUA SELATAN,703304,-,-,472503,-,-
PAPUA TENGAH,1011257,-,-,757877,-,-
PAPUA PEGUNUNGAN,1454372,-,-,1115070,-,-
INDONESIA,629561,-,-,580349,-,-
