38 Provinsi,,,,,,
,Garis Kemiskinan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah,,,,,
,Perkotaan,,,Perdesaan,,
,2013,,,2013,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,359217,374261,-,319416,337962,-
SUMATERA UTARA,307352,330517,-,263061,292186,-
SUMATERA BARAT,332837,360768,-,288215,321252,-
RIAU,346796,366057,-,312591,339829,-
JAMBI,337930,369835,-,258408,280660,-
SUMATERA SELATAN,311606,328335,-,252497,270166,-
BENGKULU,328972,358294,-,281468,313265,-
LAMPUNG,310464,326468,-,265105,284504,-
KEP. BANGKA BELITUNG,390488,416935,-,409901,436899,-
KEP. RIAU,383332,405578,-,326819,364773,-
DKI JAKARTA,407437,434322,-,-,434322,-
JAWA BARAT,258538,281189,-,240945,268251,-
JAWA TENGAH,254800,268397,-,235202,256368,-
DI YOGYAKARTA,297391,317925,-,256558,275786,-
JAWA TIMUR,265203,278653,-,250530,269294,-
BANTEN,273828,300109,-,242331,264632,-
BALI,287551,298449,-,249446,261613,-
NUSA TENGGARA BARAT,286020,299886,-,243620,263107,-
NUSA TENGGARA TIMUR,308059,321163,-,217918,234141,-
KALIMANTAN BARAT,263058,280423,-,242321,265898,-
KALIMANTAN TENGAH,287333,299970,-,298172,311647,-
KALIMANTAN SELATAN,298518,313691,-,272614,290576,-
KALIMANTAN TIMUR,401132,435313,-,349935,389784,-
KALIMANTAN UTARA,-,-,-,-,-,-
SULAWESI UTARA,242840,255566,-,233415,245872,-
SULAWESI TENGAH,298646,324072,-,265582,293567,-
SULAWESI SELATAN,221892,235488,-,192161,207023,-
SULAWESI TENGGARA,215910,240089,-,200058,221905,-
GORONTALO,224622,237600,-,219827,232048,-
SULAWESI BARAT,218429,230973,-,211850,228346,-
MALUKU,315012,358068,-,285967,339466,-
MALUKU UTARA,284374,317176,-,248026,281482,-
PAPUA BARAT,382905,414900,-,355839,389163,-
PAPUA BARAT DAYA,-,-,-,-,-,-
PAPUA,362401,387789,-,298395,322079,-
PAPUA SELATAN,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-
INDONESIA,289042,275779,-,253273,275779,-
