Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Daerah,,
,2009,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,-,-,0.52
Desa,-,-,0.82
Kota+Desa,-,-,0.68
