Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Daerah,,
,2017,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,0.31,0.3,-
Desa,0.67,0.65,-
Kota+Desa,0.48,0.46,-
