Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Daerah,,
,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,0.31,0.31,-
Desa,0.57,0.57,-
Kota+Desa,0.44,0.44,-
