Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Daerah,,
,2014,,
,Semester 1 (Maret),Semester 2 (September),Tahunan
Kota,8.34,8.16,-
Desa,14.17,13.76,-
Kota+Desa,11.25,10.96,-
