Nama Wilayah,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota
,2010
ACEH,3.48
Simeulue,4.29
Aceh Singkil,2.91
Aceh Selatan,3.1
Aceh Tenggara,2.62
Aceh Timur,2.98
Aceh Tengah,2.88
Aceh Barat,4.76
Aceh Besar,3.71
Pidie,3.44
Bireuen,4.11
Aceh Utara,4.46
Aceh Barat Daya,3.31
Gayo Lues,3.4
Aceh Tamiang,2.7
Nagan Raya,4.43
Aceh Jaya,3.67
Bener Meriah,3.64
Pidie Jaya,3.78
Kota Banda Aceh,1.46
Kota Sabang,4.36
Kota Langsa,3.09
Kota Lhokseumawe,2.68
Kota Subulussalam,4.87
SUMATERA UTARA,1.79
Nias,4.14
Mandailing Natal,1.53
Tapanuli Selatan,1.25
Tapanuli Tengah,2.86
Tapanuli Utara,2.12
Toba Samosir,1.64
Labuhan Batu,2.25
Asahan,1.53
Simalungun,1.8
Dairi,1.3
Karo,1.52
Deli Serdang,0.45
Langkat,1.92
Nias Selatan,2.51
Humbang Hasundutan,1.61
Pakpak Bharat,1.32
Samosir,2.69
Serdang Bedagai,1.69
Batu Bara,1.89
Padang Lawas Utara,1.78
Padang Lawas,1.42
Labuhan Batu Selatan,2.53
Labuhan Batu Utara,2.02
Nias Utara,5.23
Nias Barat,7.22
Kota Sibolga,1.77
Kota Tanjung Balai,2.65
Kota Pematang Siantar,1.55
Kota Tebing Tinggi,1.87
Kota Medan,1.57
Kota Binjai,1.06
Kota Padangsidimpuan,1.79
Kota Gunungsitoli,11.57
SUMATERA BARAT,1.45
Kepulauan Mentawai,5.06
Pesisir Selatan,1.65
Solok,1.68
Sijunjung,2.19
Tanah Datar,0.86
Padang Pariaman,1.36
Agam,1.36
Lima Puluh Kota,1.96
Pasaman,1.3
Solok Selatan,1.33
Dharmasraya,1.83
Pasaman Barat,1.4
Kota Padang,1.1
Kota Solok,1.15
Kota Sawah Lunto,0.19
Kota Padang Panjang,1.06
Kota Bukittinggi,0.69
Kota Payakumbuh,1.58
Kota Pariaman,0.89
RIAU,1.76
Kuantan Singingi,2.05
Indragiri Hulu,1.23
Indragiri Hilir,1.73
Pelalawan,2.68
Siak,0.71
Kampar,1.37
Rokan Hulu,1.99
Bengkalis,1.7
Rokan Hilir,1.48
Kepulauan Meranti,10.81
Kota Pekanbaru,0.87
Kota Dumai,1.07
JAMBI,1.21
Kerinci,1.18
Merangin,0.85
Sarolangun,1.61
