Nama Wilayah,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota
,2004
ACEH,6.32
Simeulue,7.74
Aceh Singkil,6.25
Aceh Selatan,4.94
Aceh Tenggara,7.94
Aceh Timur,6.05
Aceh Tengah,4.7
Aceh Barat,8.45
Aceh Besar,3.41
Pidie,6.28
Bireuen,5.29
Aceh Utara,10.36
Aceh Barat Daya,4.86
Gayo Lues,10.58
Aceh Tamiang,4.63
Nagan Raya,8.16
Aceh Jaya,7.5
Bener Meriah,-
Pidie Jaya,-
Kota Banda Aceh,1.52
Kota Sabang,6.77
Kota Langsa,2.79
Kota Lhokseumawe,4.45
Kota Subulussalam,-
SUMATERA UTARA,2.32
Nias,5.67
Mandailing Natal,4.09
Tapanuli Selatan,4.53
Tapanuli Tengah,6.36
Tapanuli Utara,3.01
Toba Samosir,3.27
Labuhan Batu,1.77
Asahan,1.58
Simalungun,2.4
Dairi,3.98
Karo,4.55
Deli Serdang,0.99
Langkat,3.03
Nias Selatan,5.78
Humbang Hasundutan,3.17
Pakpak Bharat,4.25
Samosir,-
Serdang Bedagai,-
Batu Bara,-
Padang Lawas Utara,-
Padang Lawas,-
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,1.53
Kota Tanjung Balai,1.65
Kota Pematang Siantar,1.98
Kota Tebing Tinggi,1.23
Kota Medan,1.11
Kota Binjai,0.83
Kota Padangsidimpuan,2.8
Kota Gunungsitoli,-
SUMATERA BARAT,1.52
Kepulauan Mentawai,2.16
Pesisir Selatan,1.74
Solok,2.4
Sijunjung,1.99
Tanah Datar,0.81
Padang Pariaman,2.39
Agam,1.73
Lima Puluh Kota,1.65
Pasaman,1.68
Solok Selatan,-
Dharmasraya,-
Pasaman Barat,-
Kota Padang,0.53
Kota Solok,0.61
Kota Sawah Lunto,-
Kota Padang Panjang,0.55
Kota Bukittinggi,0.32
Kota Payakumbuh,0.96
Kota Pariaman,1.47
RIAU,2.28
Kuantan Singingi,4.19
Indragiri Hulu,3.11
Indragiri Hilir,4.11
Pelalawan,4.39
Siak,1.63
Kampar,2.56
Rokan Hulu,5.38
Bengkalis,1.49
Rokan Hilir,1.59
Kepulauan Meranti,-
Kota Pekanbaru,0.56
Kota Dumai,1.49
JAMBI,2.04
Kerinci,1.86
Merangin,2.09
Sarolangun,3.75
Batang Hari,3.28
Muaro Jambi,1.06
