Nama Wilayah,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota
,2009
ACEH,3.88
Simeulue,3.95
Aceh Singkil,3.4
Aceh Selatan,2.44
Aceh Tenggara,2.79
Aceh Timur,3.49
Aceh Tengah,3.18
Aceh Barat,5.73
Aceh Besar,3.91
Pidie,4.07
Bireuen,4.24
Aceh Utara,4.51
Aceh Barat Daya,3.06
Gayo Lues,5.31
Aceh Tamiang,3.43
Nagan Raya,5.12
Aceh Jaya,4.49
Bener Meriah,4.14
Pidie Jaya,4.75
Kota Banda Aceh,1.55
Kota Sabang,3.81
Kota Langsa,2.92
Kota Lhokseumawe,1.78
Kota Subulussalam,4.97
SUMATERA UTARA,1.78
Nias,5.23
Mandailing Natal,1.95
Tapanuli Selatan,1.57
Tapanuli Tengah,2.8
Tapanuli Utara,1.5
Toba Samosir,1.19
Labuhan Batu,1.38
Asahan,1.96
Simalungun,1.93
Dairi,1.63
Karo,1.32
Deli Serdang,0.53
Langkat,1.67
Nias Selatan,3.48
Humbang Hasundutan,1.8
Pakpak Bharat,1.29
Samosir,2.02
Serdang Bedagai,1.25
Batu Bara,1.64
Padang Lawas Utara,1.93
Padang Lawas,1.67
Labuhan Batu Selatan,-
Labuhan Batu Utara,-
Nias Utara,-
Nias Barat,-
Kota Sibolga,2.36
Kota Tanjung Balai,3.42
Kota Pematang Siantar,1.53
Kota Tebing Tinggi,2.1
Kota Medan,1.4
Kota Binjai,1.08
Kota Padangsidimpuan,1.92
Kota Gunungsitoli,-
SUMATERA BARAT,1.52
Kepulauan Mentawai,4.82
Pesisir Selatan,1.43
Solok,1.57
Sijunjung,1.25
Tanah Datar,0.89
Padang Pariaman,1.82
Agam,1.35
Lima Puluh Kota,1.13
Pasaman,1.99
Solok Selatan,1.68
Dharmasraya,1.87
Pasaman Barat,1.23
Kota Padang,0.93
Kota Solok,1.04
Kota Sawah Lunto,0.25
Kota Padang Panjang,1.08
Kota Bukittinggi,0.91
Kota Payakumbuh,1.6
Kota Pariaman,0.84
RIAU,1.57
Kuantan Singingi,2.51
Indragiri Hulu,1.66
Indragiri Hilir,2.07
Pelalawan,3.33
Siak,1.01
Kampar,1.8
Rokan Hulu,2.77
Bengkalis,1.19
Rokan Hilir,1.38
Kepulauan Meranti,-
Kota Pekanbaru,0.46
Kota Dumai,0.69
JAMBI,0.92
Kerinci,0.75
Merangin,1.16
Sarolangun,1.38
Batang Hari,1
